58.256 2.620 3 'CN'  'CENTRAL NORTH SEA (CENTRAL GRABEN)'
48.37 17.78 2 '**' ** CENTRAL SLOVAKIA REGION
48.37 17.78 3 'DL'  'DANUBE LOWLAND REGION'
48.00 17.09 2 '  ' 
47.72 17.09 2 '  ' 
47.54 17.97 2 '  ' 
47.86 17.99 2 '  ' 
47.86 18.44 2 '  ' 
48.37 17.78 2 '**' **DANUBE LOWLAND REGION 
47.86 17.99 3 'KO'  'KOMARNO REGION'
47.54 17.97 2 '  ' 
47.53 18.40 2 '  ' 
47.86 18.44 2 '  ' 
47.86 17.99 2 '**' **KOMARNO REGION
47.86 18.44 3 'MB'  'MATRA-BUEKK MTS.'
48.06 18.86 2 '  ' 
48.54 20.55 2 '  ' 
48.49 21.09 2 '  ' 
47.93 21.13 2 '  ' 
47.47 19.23 2 '  ' 
47.38 18.64 2 '  ' 
47.40 18.38 2 '  ' 
47.53 18.40 2 '  ' 
47.86 18.44 2 '**' ** MATRA-BUEKK MTS.
51.55 16.00 3 'LU'  'LUBIN MINING DISTRICT'
51.55 16.15 2 '  ' 
51.40 16.25 2 '  ' 
51.40 16.15 2 '  ' 
51.45 16.00 2 '  ' 
51.55 16.00 2 '**' **LUBIN MINING DISTRICT
50.40 18.80 3 'US'  'UPPER SILESIAN MINING DISTRICT'
50.40 19.15 2 '  ' 
50.25 19.40 2 '  ' 
50.00 19.40 2 '  ' 
50.00 19.05 2 '  ' 
49.95 18.75 2 '  ' 
49.80 18.30 2 '  ' 
50.15 18.30 2 '  ' 
50.30 18.60 2 '  ' 
50.40 18.80 2 '**' **UPPER SILESIAN MINING DISTRICT
51.30 18.80 3 'BE'  'BELCHATOW MINING DISTRICT'
51.30 18.88 2 '  ' 
51.30 19.50 2 '  ' 
51.10 19.50 2 '  ' 
51.10 19.10 2 '  ' 
51.10 18.80 2 '  ' 
51.30 18.80 2 '**' **BELCHATOW MINING DISTRICT, END CZECH REPUBLIC, POLAND & SLOVAKIA
46.488 13.664 3 'DI'  ' DINARIDES ' 
46.390 14.576 2 '  '  ITALY
45.667 15.174 2 '  ' 
44.932 14.812 2 '  ' 
45.739 13.702 2 '  ' 
46.123 13.191 2 '  ' 
46.488 13.664 2 '**' **DINARIDES 
46.613 12.461 3 'IS'  ' ITALIAN SOUTHERN ALPS '
46.549 13.707 2 '  '  ITALY
46.430 13.600 2 '  ' 
46.123 13.191 2 '  ' 
45.734 12.243 2 '  ' 
45.571 11.678 2 '  ' 
45.853 11.313 2 '  ' 
46.613 12.461 2 '**' **NE ALPS 
46.679 10.652 3 'SD'  ' S TYROL '
46.745 11.274 2 '  '  ITALY
46.949 12.162 2 '  ' 
46.613 12.461 2 '  ' 
45.853 11.313 2 '  ' 
46.332 10.878 2 '  ' 
46.482 10.652 2 '  ' 
46.679 10.652 2 '**' **S TYROL 
46.482 10.652 3 'CA'  ' CENTRAL ALPS '
46.332 10.878 2 '  '  ITALY
45.853 11.313 2 '  ' 
45.571 11.678 2 '  ' 
45.306 11.296 2 '  ' 
45.238 10.670 2 '  ' 
45.351 09.817 2 '  ' 
45.798 09.029 2 '  ' 
46.212 09.449 2 '  ' 
46.298 10.297 2 '  ' 
46.482 10.652 2 '**' **CENTRAL ALPS 
46.015 06.826 3 'WA'  ' NW ALPS '
46.127 08.056 2 '  '  FRANCE - ITALY - SWITZERLAND BORDER REGION
45.956 08.577 2 '  ' 
45.278 07.556 2 '  ' 
45.199 06.426 2 '  ' 
45.555 06.519 2 '  ' 
46.015 06.826 2 '**' **NW ALPS 
45.278 07.556 3 'MA'  ' MARITIME ALPS '        
44.725 07.522 2 '  '  FRANCE - ITALY BORDER REGION
44.162 08.035 2 '  ' 
44.100 08.556 2 '  ' 
43.666 08.026 2 '  ' 
43.663 06.930 2 '  ' 
44.488 06.661 2 '  ' 
45.199 06.426 2 '  ' 
45.278 07.556 2 '**' **MARITIME ALPS       
45.238 09.304 3 'LA'  ' LIGURIAN APENNINE '
44.996 10.035 2 '  '  ITALY
44.460 09.470 2 '  ' 
44.100 09.122 2 '  ' 
44.100 08.556 2 '  ' 
44.162 08.035 2 '  ' 
44.658 08.530 2 '  ' 
45.238 09.304 2 '**' **LIGURIAN APENNINE 
44.996 10.035 3 'TA'  ' TUSCO-EMILIAN APENNINE '
44.776 10.591 2 '  '  ITALY
44.534 11.661 2 '  ' 
44.257 12.339 2 '  ' 
44.122 12.278 2 '  ' 
43.530 11.991 2 '  ' 
43.096 11.757 2 '  ' 
43.992 10.417 2 '  ' 
44.460 09.470 2 '  ' 
44.996 10.035 2 '**' **TUSCO-EMILIAN APENNINE 
44.122 12.278 3 'UA'  ' UMBRIAN APENNINE '
43.277 13.443 2 '  '  ITALY
42.899 13.426 2 '  ' 
42.707 13.296 2 '  ' 
42.228 12.983 2 '  ' 
41.856 12.861 2 '  ' 
42.628 12.174 2 '  ' 
43.096 11.757 2 '  ' 
43.530 11.991 2 '  ' 
44.122 12.278 2 '**' **UMBRIAN APENNINE 
42.707 13.296 3 'AA'  ' ABRUTIAN APENNINE '
41.879 14.296 2 '  '  ITALY
41.293 14.113 2 '  ' 
41.856 12.861 2 '  ' 
42.228 12.983 2 '  ' 
42.707 13.296 2 '**' **ABRUTIAN APENNINE 
44.257 12.339 3 'AC'  ' CENTRAL ADRIATIC COAST '
44.054 13.270 2 '  '  ITALY
43.406 14.017 2 '  ' 
41.918 15.155 2 '  ' 
41.665 14.757 2 '  ' 
41.879 14.296 2 '  ' 
42.707 13.296 2 '  ' 
42.899 13.426 2 '  ' 
43.277 13.443 2 '  ' 
44.122 12.278 2 '  ' 
44.257 12.339 2 '**' **CENTRAL ADRIATIC COAST 
44.460 09.470 3 'NT'  ' N THYRRHENIAN COAST ' 
43.992 10.417 2 '  '  ITALY
43.096 11.757 2 '  ' 
42.628 12.174 2 '  ' 
41.991 11.801 2 '  ' 
42.510 11.000 2 '  ' 
43.592 10.000 2 '  ' 
44.100 09.122 2 '  ' 
44.460 09.470 2 '**' **N THYRRHENIAN COAST 
42.628 12.174 3 'ST'  ' S TYRRHENIAN COAST '
41.856 12.861 2 '  '  ITALY
41.293 14.113 2 '  ' 
40.432 15.388 2 '  ' 
39.720 16.000 2 '  ' 
40.554 13.878 2 '  ' 
41.479 12.374 2 '  ' 
41.991 11.801 2 '  ' 
42.628 12.174 2 '**' **S TYRRHENIAN COAST 
41.879 14.296 3 'CA'  ' CAMPANIAN APENNINE '
41.665 14.757 2 '  '  ITALY
41.140 15.670 2 '  ' 
39.692 17.191 2 '  ' 
39.720 16.000 2 '  ' 
40.432 15.388 2 '  ' 
41.293 14.113 2 '  ' 
41.879 14.296 2 '**' **CAMPANIAN APENNINE 
42.217 15.617 3 'GA'  ' GARGANO '
41.614 16.348 2 '  '  ITALY
41.140 15.670 2 '  ' 
41.665 14.757 2 '  ' 
41.918 15.155 2 '  ' 
42.217 15.617 2 '**' **GARGANO 
39.720 16.000 3 'CL'  ' CALABRIA '
39.692 17.191 2 '  '  ITALY
39.094 17.391 2 '  ' 
38.745 17.130 2 '  ' 
38.069 16.365 2 '  ' 
37.640 15.983 2 '  ' 
38.069 15.409 2 '  ' 
38.300 15.539 2 '  ' 
38.937 16.122 2 '  ' 
39.720 16.000 2 '**' **CALABRIA 
41.614 16.348 3 'AP'  ' APULIA '
40.031 19.283 2 '  '  ITALY
39.834 19.348 2 '  ' 
39.308 19.096 2 '  ' 
39.692 17.191 2 '  ' 
41.140 15.670 2 '  ' 
41.614 16.348 2 '**' **APULIA 
38.869 14.722 3 'ES'  ' E SICILY '
38.069 15.409 2 '  '  ITALY
37.640 15.983 2 '  ' 
36.637 15.539 2 '  ' 
36.558 14.991 2 '  ' 
37.606 14.835 2 '  ' 
38.773 13.904 2 '  ' 
38.869 14.722 2 '**' **E SICILY 
37.606 14.835 3 'SS'  ' S SICILY '
36.558 14.991 2 '  '  ITALY
36.558 14.461 2 '  ' 
37.184 13.270 2 '  ' 
37.606 14.835 2 '**' **S SICILY 
38.773 13.904 3 'WS'  ' W SICILY '
37.606 14.835 2 '  '  ITALY
37.184 13.270 2 '  ' 
37.223 12.757 2 '  ' 
38.035 12.165 2 '  ' 
38.441 12.722 2 '  ' 
38.773 13.904 2 '**' **W SICILY 
45.956 08.577 3 'PP'  ' PO PLAIN '
45.798 09.029 2 '  '  ITALY
45.351 09.817 2 '  ' 
45.238 10.670 2 '  ' 
45.306 11.296 2 '  ' 
45.571 11.678 2 '  ' 
45.734 12.243 2 '  ' 
46.123 13.191 2 '  ' 
45.739 13.702 2 '  ' 
45.436 12.435 2 '  ' 
44.257 12.339 2 '  ' 
44.534 11.661 2 '  ' 
44.776 10.591 2 '  ' 
44.996 10.035 2 '  ' 
45.238 09.304 2 '  ' 
44.658 08.530 2 '  ' 
44.162 08.035 2 '  ' 
44.725 07.522 2 '  ' 
45.278 07.556 2 '  ' 
45.956 08.577 2 '**' **PO PLAIN 
45.739 13.702 3 'AS'  ' ADRIATIC SEA '
44.932 14.812 2 '  '  ITALY
43.800 14.800 2 '  ' 
42.800 16.500 2 '  ' 
41.734 18.686 2 '  ' 
40.031 19.283 2 '  ' 
41.614 16.348 2 '  ' 
42.217 15.617 2 '  ' 
41.918 15.155 2 '  ' 
43.406 14.017 2 '  ' 
44.054 13.270 2 '  ' 
44.257 12.339 2 '  ' 
45.436 12.435 2 '  ' 
45.739 13.702 2 '**' **ADRIATIC SEA 
43.663 06.930 3 'NY'  ' N TYRRHENIAN SEA '
43.666 08.026 2 '  '  ITALY
44.100 08.556 2 '  ' 
44.100 09.122 2 '  ' 
43.592 10.000 2 '  ' 
42.510 11.000 2 '  ' 
41.991 11.801 2 '  ' 
41.479 12.374 2 '  ' 
40.554 13.878 2 '  ' 
38.000 11.500 2 '  ' 
38.000 08.500 2 '  ' 
39.200 06.930 2 '  ' 
43.663 06.930 2 '**' **N TYRRHENIAN SEA 
40.554 13.878 3 'SY'  ' S TYRRHENIAN SEA '
39.720 16.000 2 '  '  ITALY
38.937 16.122 2 '  ' 
38.300 15.539 2 '  ' 
38.069 15.409 2 '  ' 
38.869 14.722 2 '  ' 
38.773 13.904 2 '  ' 
38.441 12.722 2 '  ' 
38.035 12.165 2 '  ' 
37.223 12.757 2 '  ' 
37.184 13.270 2 '  ' 
36.558 14.461 2 '  ' 
36.558 14.991 2 '  ' 
36.010 14.991 2 '  ' 
36.010 14.000 2 '  ' 
36.700 11.700 2 '  ' 
38.000 11.500 2 '  ' 
40.554 13.878 2 '**' **S TYRRHENIAN SEA 
39.692 17.191 3 'IO'  ' IONIAN SEA '
39.308 19.096 2 '  '  ITALY
36.500 17.000 2 '  ' 
36.010 14.991 2 '  ' 
36.558 14.991 2 '  ' 
36.637 15.539 2 '  ' 
37.640 15.983 2 '  ' 
38.069 16.365 2 '  ' 
38.745 17.130 2 '  ' 
39.094 17.391 2 '  ' 
39.692 17.191 2 '**' **IONIAN SEA ,     END REGIONS OF ITALY
46.390 14.580 3 'CS'  'CENTRAL AND NORTHERN SLOVENIA'
46.680 15.180 2 '  ' SLOVENIA - AUSTRIA BORDER REGION
46.700 16.000 2 '  ' 
46.850 16.000 2 '  ' 
46.850 16.350 2 '  ' 
46.800 16.400 2 '  ' 
46.200 15.350 2 '  ' 
45.580 15.000 2 '  ' 
45.400 15.000 2 '  ' 
45.400 14.850 2 '  ' 
46.230 14.210 2 '  ' 
46.430 13.600 2 '  ' 
46.549 13.707 2 '  ' 
46.390 14.580 2 '**'  'CENTRAL AND NORTHERN SLOVENIA'
46.430 13.600 3 'ED'  'NW EXTERNAL DINARIDES' 
46.123 13.191 2 '  ' SLOVENIA - ITALY BORDER REGION
45.739 13.702 2 '  ' 
45.400 14.100 2 '  ' 
45.400 14.850 2 '  ' 
46.230 14.210 2 '  ' 
46.430 13.600 2 '**'  'NW EXTERNAL DINARIDES' 
45.400 15.000 3 'SC'  'SLOVENIA-CROATIA BORDER REGION'
45.400 15.550 2 '  ' 
45.670 15.750 2 '  ' 
46.000 15.780 2 '  ' 
46.370 16.290 2 '  ' 
46.630 16.660 2 '  ' 
46.800 16.400 2 '  ' 
46.200 15.350 2 '  ' 
45.580 15.000 2 '  ' 
45.400 15.000 2 '**'  'SLOVENIA-CROATIA BORDER REGION'
45.440 12.440 3 'NA'  'NORTHERN ADRIATIC AND ISTRIA'
45.740 13.700 2 '  ' 
45.400 14.100 2 '  ' 
44.940 14.470 2 '  ' 
43.875 14.970 2 '  ' 
43.406 14.017 2 '  ' 
44.054 13.270 2 '  ' 
44.257 12.339 2 '  ' 
45.440 12.440 2 '**'  'NORTHERN ADRIATIC AND ISTRIA'
46.613 12.461 3 'IS'  'ITALIAN SOUTHERN ALPS'
46.549 13.707 2 '  ' 
46.430 13.600 2 '  ' 
46.123 13.199 2 '  ' 
45.734 12.243 2 '  ' 
45.571 11.678 2 '  ' 
45.853 11.313 2 '  ' 
46.613 12.461 2 '**'  'ITALIAN SOUTHERN ALPS'
46.950 12.160 3 'ET'  'CARINTHIA - EASTERN TYROL'
47.070 12.160 2 '  ' AUSTRIA
47.070 14.000 2 '  ' 
47.070 14.950 2 '  ' 
46.680 15.180 2 '  ' 
46.390 14.580 2 '  ' 
46.549 13.707 2 '  ' 
46.620 12.460 2 '  ' 
46.950 12.160 2 '**' **CARINTHIA - EASTERN TYROL
47.070 14.950 3 'ST'  'STYRIAN BASIN'
47.500 16.000 2 '  ' AUSTRIA - HUNGARY BORDER REGION
47.720 17.090 2 '  ' 
46.850 16.350 2 '  ' 
46.850 16.000 2 '  ' 
46.700 16.000 2 '  '
46.680 15.180 2 '  ' 
47.070 14.95 2 '**' **STYRIAN BASIN
46.370 16.290 3 'CH'  'CROATIA-HUNGARY BORDER REGION' 
46.630 16.660 2 '  ' 
46.770 16.870 2 '  ' 
46.090 17.810 2 '  ' 
46.040 18.960 2 '  ' 
45.350 19.050 2 '  ' 
45.850 16.980 2 '  ' 
46.370 16.290 2 '**'  'CROATIA-HUNGARY BORDER REGION'
45.400 15.000 3 'NC'  'NW CROATIA'
45.400 15.550 2 '  ' 
45.670 15.750 2 '  ' 
46.000 15.780 2 '  ' 
46.370 16.290 2 '  ' 
45.850 16.980 2 '  ' 
45.240 16.470 2 '  ' 
45.000 16.290 2 '  ' 
45.225 15.810 2 '  ' 
45.060 15.730 2 '  ' 
44.850 15.510 2 '  ' 
45.400 15.000 2 '**'  'NW CROATIA'
45.400 14.100 3 'RS'  'RIJEKA-SENJ REGION, CROATIA'
45.400 14.850 2 '  ' 
45.400 15.000 2 '  ' 
44.850 15.510 2 '  ' 
44.940 14.470 2 '  ' 
45.400 14.100 2 '**'  'RIJEKA-SENJ REGION, CROATIA'
44.940 14.470 3 'VE'  'VELEBIT REGION, CROATIA'
44.850 15.510 2 '  ' 
44.340 15.860 2 '  ' 
43.875 14.970 2 '  ' 
44.940 14.470 2 '**'  'VELEBIT REGION, CROATIA'
45.850 16.980 3 'EC'  'EASTERN CROATIA'
45.350 19.050 2 '  ' 
45.200 19.475 2 '  ' 
45.110 19.120 2 '  ' 
44.940 19.100 2 '  ' 
44.860 18.930 2 '  ' 
45.040 18.660 2 '  ' 
45.103 17.962 2 '  ' 
45.118 17.769 2 '  ' 
45.191 17.000 2 '  ' 
45.240 16.470 2 '  ' 
45.850 16.980 2 '**'  'EASTERN CROATIA'
45.060 15.730 3 'BC'  'CROATIA-BOSNIA AND HERZEGOVINA BORDER REGION'
44.525 16.170 2 '  ' 
44.250 16.423 2 '  ' 
44.000 16.760 2 '  ' 
43.544 17.445 2 '  ' 
43.410 17.680 2 '  ' 
43.190 17.390 2 '  ' 
43.750 16.560 2 '  ' 
44.340 15.860 2 '  ' 
44.850 15.510 2 '  ' 
45.060 15.730 2 '**'  'CROATIA-BOSNIA AND HERZEGOVINA BORDER REGION'
43.410 17.680 3 'DN'  'DUBROVNIK-NERETVA VALLEY; CRO-BH'
42.790 18.230 2 '  ' 
42.412 18.538 2 '  ' 
42.353 18.462 2 '  ' 
42.250 18.250 2 '  ' 
42.890 16.580 2 '  ' 
43.190 17.390 2 '  ' 
43.410 17.680 2 '**'  'DUBROVNIK-NERETVA VALLEY; CRO-BH'
43.875 14.970 3 'CC'  'CROATIAN CENTRAL ADRIATIC COAST'
44.340 15.860 2 '  ' 
43.750 16.560 2 '  ' 
43.190 17.390 2 '  ' 
42.890 16.580 2 '  ' 
43.875 14.970 2 '**'  'CROATIAN CENTRAL ADRIATIC COAST' 
43.875 14.970 3 'CA'  'CENTRAL ADRIATIC SEA'
42.890 16.580 2 '  ' 
42.250 18.250 2 '  ' 
41.614 16.348 2 '  ' 
42.217 15.617 2 '  ' 
41.918 15.155 2 '  ' 
43.406 14.017 2 '  ' 
43.875 14.970 2 '**'  'CENTRAL ADRIATIC SEA'
45.060 15.730 3 'WB'  'WESTERN BOSNIA, BH'
45.225 15.810 2 '  ' 
45.000 16.290 2 '  ' 
45.240 16.470 2 '  ' 
45.191 17.000 2 '  ' 
44.250 17.000 2 '  ' 
44.250 16.423 2 '  ' 
44.525 16.170 2 '  ' 
45.060 15.730 2 '**'  'WESTERN BOSNIA, BH'
44.250 17.000 3 'WH'  'WESTERN HERZEGOVINA, BH'
43.700 17.700 2 '  ' 
43.544 17.445 2 '  ' 
44.000 16.760 2 '  ' 
44.250 16.423 2 '  ' 
44.250 17.000 2 '**'  'WESTERN HERZEGOVINA, BH'
45.191 17.000 3 'BL'  'BANJA LUKA REGION, BH'
45.118 17.769 2 '  ' 
43.700 17.700 2 '  ' 
44.250 17.000 2 '  ' 
45.191 17.000 2 '**'  'BANJA LUKA REGION, BH'
43.700 17.700 3 'CB'  'CENTRAL BOSNIA, BH'
43.650 18.200 2 '  ' 
44.500 18.500 2 '  ' 
45.103 17.962 2 '  ' 
45.118 17.769 2 '  ' 
43.700 17.700 2 '**'  'CENTRAL BOSNIA, BH'
43.650 18.200 3 'SA'  'SARAJEVO REGION, BH'
43.200 18.900 2 '  ' 
43.600 19.700 2 '  ' 
44.500 18.500 2 '  ' 
43.650 18.200 2 '**'  'SARAJEVO REGION, BH'
43.600 19.700 3 'TZ'  'TUZLA REGION, BH'
45.000 19.570 2 '  ' 
45.110 19.120 2 '  ' 
44.940 19.100 2 '  ' 
44.860 18.930 2 '  ' 
45.040 18.660 2 '  ' 
45.103 17.962 2 '  ' 
44.500 18.500 2 '  ' 
43.600 19.700 2 '**'  'TUZLA REGION, BH'
43.650 18.200 3 'EH'  'EASTERN HERZEGOVINA, BH'
43.200 18.900 2 '  ' 
42.412 18.538 2 '  ' 
42.790 18.230 2 '  ' 
43.650 18.200 2 '**'  'EASTERN HERZEGOVINA, BH'
43.544 17.445 3 'MO'  'MOSTAR REGION, BH'
43.700 17.700 2 '  ' 
43.650 18.200 2 '  ' 
42.790 18.230 2 '  ' 
43.410 17.680 2 '  ' 
43.544 17.445 2 '**'  'MOSTAR REGION, BH' 
44.25 15.70 3 'WB'  'WESTERN BOSNIA'
44.25 17.00 2 '  ' 
45.30 17.00 2 '  ' 
45.30 15.80 2 '  ' 
44.25 15.70 2 '**' **WESTERN BOSNIA
43.25 17.00 3 'WH' 'WESTERN HERZEGOVINA'
43.70 17.70 2 '  ' 
44.25 17.00 2 '  ' 
44.25 15.70 2 '  ' 
43.25 17.00 2 '**' **WESTERN HERZEGOVINA
43.70 17.70 3 'BL'  'BANJA LUKA REGION'
45.30 17.80 2 '  ' 
45.30 17.00 2 '  ' 
44.25 17.00 2 '  ' 
43.70 17.70 2 '**' **BANJA LUKA REGION
43.70 17.70 3 'CB'  'CENTRAL BOSNIA'
43.65 18.20 2 '  ' 
44.50 18.50 2 '  ' 
45.30 17.80 2 '  ' 
43.70 17.70 2 '**' **CENTRAL BOSNIA
43.65 18.20 3 'SA'  'SARAJEVO REGION'
43.20 18.90 2 '  ' 
43.60 19.70 2 '  ' 
44.50 18.50 2 '  ' 
43.65 18.20 2 '**' **SARAJEVO REGION
43.60 19.70 3 'TZ'  'TUZLA REGION'
45.00 19.57 2 '  ' 
45.30 17.80 2 '  ' 
44.50 18.50 2 '  ' 
43.60 19.70 2 '**' **TUZLA REGION
43.65 18.20 3 'EH'  'EASTERN HERZEGOVINA'
43.20 18.90 2 '  ' 
42.40 18.60 2 '  ' 
42.50 18.25 2 '  ' 
43.65 18.20 2 '**' **EASTERN HERZEGOVINA
43.25 17.00 3 'MO'  'MOSTAR REGION'
42.50 18.25 2 '  ' 
43.65 18.20 2 '  ' 
43.70 17.70 2 '  ' 
43.25 17.00 2 '**' **MOSTAR REGION,   END REGIONS BOSNIA & HERZEGOVINA
41.38 20.33 3 '  ' 'ZONE-1 MACEDONIA' 
41.39 20.87 2 '  ' 
40.76 20.89 2 '  ' 
40.75 20.34 2 '  ' 
41.38 20.33 2 '**'  **ZONE-1
42.35 20.31 3 '  ' 'ZONE-2 MACEDONIA'
42.36 20.77 2 '  ' 
41.39 20.80 2 '  ' 
41.38 20.33 2 '  ' 
42.35 20.31 2 '**'  **ZONE-2
42.36 20.77 3 '  ' 'ZONE-3 MACEDONIA'
42.36 21.20 2 '  ' 
41.65 21.23 2 '  ' 
41.64 20.79 2 '  ' 
42.36 20.77 2 '**'  **ZONE-3
41.64 20.79 3 '  ' 'ZONE-4 MACEDONIA'
41.64 21.37 2 '  ' 
41.25 21.38 2 '  ' 
41.24 20.88 2 '  ' 
41.39 20.87 2 '  ' 
41.39 20.80 2 '  ' 
41.64 20.79 2 '**'  **ZONE-4
41.24 20.88 3 '  ' 'ZONE-5 MACEDONIA'
41.26 21.66 2 '  ' 
40.76 21.68 2 '  ' 
40.76 20.89 2 '  ' 
41.24 20.88 2 '**'  **ZONE-5
41.90 21.22 3 '  ' 'ZONE-6 MACEDONIA'
41.90 21.63 2 '  ' 
41.51 21.65 2 '  ' 
41.51 21.87 2 '  ' 
40.76 21.89 2 '  ' 
40.76 21.68 2 '  ' 
41.26 21.66 2 '  ' 
41.25 21.38 2 '  ' 
41.64 21.37 2 '  ' 
41.64 21.23 2 '  ' 
41.90 21.22 2 '**'  **ZONE-6
42.36 21.20 3 '  ' 'ZONE-7 MACEDONIA'
42.37 22.03 2 '  ' 
41.89 22.03 2 '  ' 
41.90 21.63 2 '  ' 
41.90 21.22 2 '  ' 
42.36 21.20 2 '**'  **ZONE-7
41.90 21.63 3 '  ' 'ZONE-8 MACEDONIA'
41.90 22.03 2 '  ' 
41.90 22.14 2 '  ' 
41.51 22.15 2 '  ' 
41.51 21.65 2 '  ' 
41.90 21.63 2 '**'  **ZONE-8
41.51 21.87 3 '  ' 'ZONE-9 MACEDONIA'
41.51 22.31 2 '  ' 
40.76 22.31 2 '  ' 
40.76 21.89 2 '  ' 
41.51 21.87 2 '**'  **ZONE-9
41.51 22.31 3 '  ' 'ZONE-10 MACEDONIA'
41.51 23.20 2 '  ' 
40.94 23.09 2 '  ' 
40.76 22.31 2 '  ' 
41.51 22.31 2 '**'  **ZONE-10
41.89 22.14 3 '  ' 'ZONE-11 MACEDONIA'
41.90 22.61 2 '  ' 
41.51 22.61 2 '  ' 
41.51 22.15 2 '  ' 
41.89 22.14 2 '**'  **ZONE-11
42.37 22.03 3 '  ' 'ZONE-12 MACEDONIA'
42.38 22.61 2 '  ' 
41.90 22.61 2 '  ' 
41.89 22.03 2 '  ' 
42.37 22.03 2 '**'  **ZONE-12
42.38 22.61 3 '  ' 'ZONE-13 MACEDONIA'
42.39 23.20 2 '  ' 
41.51 23.20 2 '  ' 
41.51 22.61 2 '  ' 
42.38 22.61 2 '**'  **ZONE-13    END REGIONS MACEDONIA
43.0 -13.0 3 'GB'  'GALICIA BANK'
43.0 -10.1 2 '  ' PORTUGAL
41.4 -10.1 2 '  ' 
42.0 -13.0 2 '  ' 
43.0 -13.0 2 '**' **GALICIA BANK
42.0 -13.0 3 'IB'  'IBERIA ABYSSAL PLAIN'
41.4 -10.1 2 '  ' PORTUGAL
39.5 -10.2 2 '  ' 
40.3 -11.6 2 '  ' 
41.0 -13.0 2 '  ' 
42.0 -13.0 2 '**' **IBERIA ABYSSAL PLAIN
40.3 -11.6 3 'TR'  'TORE RISE'
39.5 -10.2 2 '  ' PORTUGAL
37.1 -12.0 2 '  ' 
37.3 -13.0 2 '  ' 
38.4 -13.0 2 '  ' 
40.3 -11.6 2 '**' **TORE RISE
39.5 -10.2 3 'TP'  'TAGUS ABYSSAL PLAIN'
37.3 -10.2 2 '  ' PORTUGAL
37.1 -12.0 2 '  ' 
39.5 -10.2 2 '**' **TAGUS ABYSSAL PLAIN
37.3 -13.0 3 'GO'  'GORRINGE'
37.1 -12.0 2 '  ' PORTUGAL
37.3 -10.2 2 '  ' 
36.4 -10.0 2 '  ' 
36.0 -9.2 2 '  ' 
35.5 -10.6 2 '  ' 
36.3 -13.0 2 '  ' 
37.3 -13.0 2 '**'  **GORRINGE
43.0 -10.1 3 'NI'  'NORTHWEST IBERIA MARGIN'
43.0 -8.2 2 '  ' PORTUGAL
40.2 -8.2 2 '  ' 
40.1 -8.5 2 '  ' 
39.5 -10.2 2 '  ' 
41.4 -10.1 2 '  ' 
43.0 -10.1 2 '**'  **NORTHWEST IBERIA MARGIN
43.0 -8.2 3 'GA'  'GALICIA - TRAS-OS-MONTES'
43.0 -6.0 2 '  ' PORTUGAL
41.1 -6.0 2 '  ' 
40.4 -8.2 2 '  ' 
43.0 -8.2 2 '**' GALICIA - TRAS-OS-MONTES
40.4 -8.2 3 'CC'  'CENTRAL CORDILLERA'
41.1 -6.0 2 '  ' PORTUGAL
40.1 -6.0 2 '  ' 
39.2 -8.6 2 '  ' 
40.1 -8.5 2 '  ' 
40.2 -8.2 2 '  ' 
40.4 -8.2 2 '**' **CENTRAL CORDILLERA
39.5 -10.2 3 'WI'  'CENTRAL WEST IBERIA MARGIN (OR ESTREMADURA)'
40.1 -8.5 2 '  ' PORTUGAL
39.2 -8.6 2 '  ' 
38.4 -8.6 2 '  ' 
38.0 -10.2 2 '  ' 
39.5 -10.2 2 '**' **CENTRAL WEST IBERIA MARGIN (OR ESTREMADURA)
39.2 -8.6 3 'AL '  'ALENTEJO'
40.1 -6.0 2 '  ' PORTUGAL
38.2 -6.0 2 '  ' 
37.4 -8.6 2 '  ' 
39.2 -8.6 2 '**' **ALENTEJO
37.4 -8.6 3 'CA'  'CADIZ'
38.2 -6.0 2 '  ' PORTUGAL
36.7 -6.0 2 '  ' 
36.2 -7.5 2 '  ' 
37.15 -8.6 2 '  ' 
37.4 -8.6 2 '**' **CADIZ
38.0 -10.2 3 'SI'  'SOUTHWEST IBERIA MARGIN'
38.4 -8.6 2 '  ' PORTUGAL
37.15 -8.6 2 '  ' 
36.2 -7.5 2 '  ' 
35.7 -8.5 2 '  ' 
36.0 -9.2 2 '  ' 
36.4 -10.0 2 '  ' 
37.3 -10.2 2 '  ' 
38.0 -10.2 2 '**' **SOUTHWEST IBERIA MARGIN
