58.256 2.620 3 'CN'  'CENTRAL NORTH SEA (CENTRAL GRABEN)'
67.000 13.000 2 '  ' 
66.400 12.000 2 '  ' 
63.800 9.000 2 '  ' 
63.300 7.500 2 '  ' 
63.500 7.000 2 '**' **TROENDELAG PLATFORM
68.000 8.500 3 'LM'  'LOFOTEN MARGIN' 
69.400 13.000 2 '  ' 
69.000 15.000 2 '  ' 
68.000 12.500 2 '  ' 
67.000 10.500 2 '  ' 
68.000 8.500 2 '**' **LOFOTEN MARGIN
72.000 -7.000 3 'MR'  'MOHNS RIDGE' 
74.200 6.000 2 '  ' 
74.500 17.000 2 '  ' 
72.500 11.000 2 '  ' 
72.000 4.500 2 '  ' 
71.000 -4.000 2 '  ' 
72.000 -7.000 2 '**' **MOHNS RIDGE
72.500 -12.500 3 'JM'  'JAN MAYEN REGION' 
72.000 -7.000 2 '  ' 
71.000 -4.000 2 '  ' 
70.300 -7.000 2 '  ' 
71.300 -15.000 2 '  ' 
72.500 -12.500 2 '**' **JAN MAYEN REGION
72.000 4.500 3 'EL'  'EASTERN LOFOTEN BASIN' 
72.500 11.000 2 '  ' 
69.000 15.000 2 '  ' 
69.400 13.000 2 '  ' 
68.000 8.500 2 '  ' 
72.000 4.500 2 '**' **EASTERN LOFOTEN BASIN
74.500 17.000 3 'WB'  'WESTERN BARENTS SEA' 
76.400 16.400 2 '  ' 
76.800 23.000 2 '  ' 
75.000 28.000 2 '  ' 
71.300 25.900 2 '  ' 
70.600 21.800 2 '  ' 
70.400 18.500 2 '  ' 
74.500 17.000 2 '**' **WESTERN BARENTS SEA
72.500 11.000 3 'SE'  'SENJA FRACTURE ZONE' 
74.500 17.000 2 '  ' 
70.400 18.500 2 '  ' 
69.000 15.000 2 '  ' 
72.500 11.000 2 '**' **SENJA FRACTURE ZONE
71.000 -4.000 3 'WL'  'WESTERN LOFOTEN BASIN' 
72.000 4.500 2 '  ' 
68.000 8.500 2 '  ' 
68.000 7.000 2 '  ' 
66.500 2.200 2 '  ' 
71.000 -4.000 2 '**' **WESTERN LOFOTEN BASIN
78.400 3.000 3 'KN'  'KNIPOVICH REGION' 
79.000 8.500 2 '  ' 
77.000 12.500 2 '  ' 
76.400 16.400 2 '  ' 
74.500 17.000 2 '  ' 
74.200 6.000 2 '  ' 
78.400 3.000 2 '**' **KNIPOVICH REGION
80.000 8.500 3 'WS'  'WEST SPITSBERGEN SVALBARD' 
80.100 15.500 2 '  ' 
78.600 16.500 2 '  ' 
76.400 16.400 2 '  ' 
77.000 12.500 2 '  ' 
79.000 8.500 2 '  ' 
80.000 8.500 2 '**' **WEST SPITSBERGEN SVALBARD
78.600 16.500 3 'ST'  'STORFJORDEN-HEER LAND SVALBARD' 
78.200 19.500 2 '  ' 
77.400 20.700 2 '  ' 
76.800 23.000 2 '  ' 
76.400 16.400 2 '  ' 
78.600 16.500 2 '**' **STORFJORDEN-HEER LAND SVALBARD
80.100 15.500 3 'FR'  'NEW FRIESLAND SVALBARD' 
80.100 17.500 2 '  ' 
79.100 19.900 2 '  ' 
78.700 22.000 2 '  ' 
78.500 20.300 2 '  ' 
78.200 19.500 2 '  ' 
78.600 16.500 2 '  ' 
80.100 15.500 2 '**' **NEW FRIESLAND SVALBARD
80.100 17.500 3 'ND'  'NORDAUSTLANDET SVALBARD' 
80.700 20.100 2 '  ' 
80.700 29.000 2 '  ' 
79.100 25.800 2 '  ' 
79.100 19.900 2 '  ' 
80.100 17.500 2 '**' **NORDAUSTLANDET SVALBARD
78.200 19.500 3 'BE'  'BARENTSOEYA-EDGEOEYA SVALBARD' 
78.500 20.300 2 '  ' 
78.700 22.000 2 '  ' 
77.700 24.500 2 '  ' 
76.800 23.000 2 '  ' 
77.400 20.700 2 '  ' 
78.200 19.500 2 '**' **BARENTSOEYA-EDGEOEYA SVALBARD
79.100 19.900 3 'HS'  'HINLOPEN-OLGA STRAIT SVALBARD' 
79.100 25.800 2 '  ' 
77.700 24.500 2 '  ' 
78.700 22.000 2 '  ' 
79.100 19.900 2 '**' **HINLOPEN-OLGA STRAIT SVALBARD
68.000 17.300 3 'WN'  'SOUTH-WESTERN NORRBOTTEN SWEDEN' 
66.100 21.400 2 '  ' 
66.000 14.500 2 '  ' 
68.000 17.300 2 '**' **SOUTH-WESTERN NORRBOTTEN SWEDEN
70.600 21.800 3 'NF'  'NORTHERN FINNMARK NORWAY' 
71.300 25.900 2 '  ' 
70.500 32.500 2 '  ' 
69.000 28.900 2 '  ' 
69.800 29.000 2 '  ' 
70.100 26.700 2 '  ' 
70.600 21.800 2 '**' **NORTHERN FINNMARK NORWAY
69.200 21.000 3 'CF'  'CENTRAL FINNMARK NORWAY' 
70.600 21.800 2 '  ' 
70.100 26.700 2 '  ' 
69.700 25.900 2 '  ' 
68.500 25.000 2 '  ' 
68.700 22.500 2 '  ' 
69.200 21.000 2 '**' **CENTRAL FINNMARK NORWAY
70.400 18.500 3 'TO'  'TROMS NORWAY' 
70.600 21.800 2 '  ' 
69.200 21.000 2 '  ' 
69.100 20.500 2 '  ' 
68.300 20.000 2 '  ' 
68.500 18.200 2 '  ' 
69.000 15.000 2 '  ' 
70.400 18.500 2 '**' **TROMS NORWAY
60.800 10.000 3 'OS'  'OSLO REGION NORWAY' 
61.000 12.700 2 '  ' 
59.600 11.600 2 '  ' 
59.000 11.000 2 '  ' 
58.800 10.300 2 '  ' 
59.000 9.700 2 '  ' 
60.800 10.000 2 '**' **OSLO REGION NORWAY
59.000 9.700 3 'SK'  'SKAGERRAK' 
58.800 10.300 2 '  ' 
59.000 11.000 2 '  ' 
58.000 11.500 2 '  ' 
57.900 10.700 2 '  ' 
57.500 9.800 2 '  ' 
57.200 8.500 2 '  ' 
58.100 6.500 2 '  ' 
58.000 8.200 2 '  ' 
59.000 9.700 2 '**' **SKAGERRAK
60.800 4.900 3 'HR'  'HARDANGER NORWAY' 
60.800 7.700 2 '  ' 
60.000 7.500 2 '  ' 
59.100 5.100 2 '  ' 
60.800 4.900 2 '**' **HARDANGER NORWAY
59.100 5.100 3 'RG'  'ROGALAND NORWAY' 
60.000 7.500 2 '  ' 
59.600 7.500 2 '  ' 
58.100 6.500 2 '  ' 
58.500 5.700 2 '  ' 
59.100 5.100 2 '**' **ROGALAND NORWAY
59.600 7.500 3 'AG'  'AGDER NORWAY' 
59.000 9.700 2 '  ' 
58.000 8.200 2 '  ' 
58.100 6.500 2 '  ' 
59.600 7.500 2 '**' **AGDER NORWAY
60.800 7.700 3 'TE'  'TELEMARK-BUSKERUD NORWAY' 
60.800 10.000 2 '  ' 
59.000 9.700 2 '  ' 
59.600 7.500 2 '  ' 
60.000 7.500 2 '  ' 
60.800 7.700 2 '**' **TELEMARK-BUSKERUD NORWAY, END REGIONS SCANDINAVIA
62.000 -13.500 3 'FH'  'FAROES-HEBRIDES REGION'
62.500 0.000 2 '  ' 
58.643 -5.154 2 '  ' 
58.193 -5.488 2 '  ' 
56.024 -6.896 2 '  ' 
53.725 -11.106 2 '  ' 
62.000 -13.500 2 '**' **FAROES-HEBRIDES REGION
62.500 0.000 3 'SO'  'SHETLAND-ORKNEY ISLANDS'
61.200 1.800 2 '  ' 
58.663 0.190 2 '  ' 
58.679 -2.793 2 '  ' 
58.643 -5.154 2 '  ' 
62.500 0.000 2 '**' **SHETLAND-ORKNEY ISLANDS
58.193 -5.488 3 'WS'  'WESTERN SCOTLAND'
57.561 -3.989 2 '  ' 
56.281 -4.633 2 '  ' 
55.045 -5.225 2 '  ' 
56.024 -6.896 2 '  ' 
58.193 -5.488 2 '**' **WESTERN SCOTLAND
58.643 -5.154 3 'NS'  'NORTHEASTERN SCOTLAND'
58.679 -2.793 2 '  ' 
57.297 -1.469 2 '  ' 
56.281 -4.633 2 '  ' 
57.561 -3.989 2 '  ' 
58.193 -5.488 2 '  ' 
