-A0MAC464119.0N1061320.0W  897.0Subarray A0 LASA
AO-                             (Alternate Abbreviation for AO-WS)
AO-WSC453624.0N 885701.0W  518.0Argonne
AOB   381454.0N1405048.0E   87.0Aobayama
AODM  383653.3N1204342.6W  520.0Outingdale
AOHM  392231.1N1211521.6W  457.0Oregon House
AOI   433300.0N 133607.2E  530.0Ancona (Monte Conero)
AOM  C404900.0N1404700.0E    5.0Aomori
AOM1  404912.0N1404624.0E    3.0Aomori
AOM3  404636.0N1404900.0E  150.0Aomori 3
AOMJ  403336.0N1402224.0E   90.0Aomori Outpost
AOS   391013.0N 235248.0E  200.0Al\'onnisos
AOT  C420959.4N1195412.0W 1370.0Adel
AOU   334732.3N1334614.3E  470.0Aou
AP-                             (Alternate Abbreviation for AP-OK)
AP-OKC344959.0N 982609.0W  427.0Apache
APA   673408.0N 332418.0E  182.0Apatity
APA0  673622.0N 325935.0E  200.0Apatity Array Site A0
APA1  673628.1N 325935.2E  200.0Apatity Array Site A1
APA2  673619.1N 325947.0E  200.0Apatity Array Site A2
APA3  673616.9N 325921.8E  200.0Apatity Array Site A3
APAES 673622.0N 325935.0E  200.0Apatity Array Beam Reference Point
APB1  673624.1N 330016.9E  200.0Apatity Array Site B1
APB2  673553.9N 330006.1E  200.0Apatity Array Site B2
APB3  673610.1N 325910.0E  200.0Apatity Array Site B3
APB4  673628.1N 325859.2E  200.0Apatity Array Site B4
APB5  673636.0N 325934.1E  200.0Apatity Array Site B5
APC   525530.0N1570929.0E  100.0Apacha
APCG R371124.0N  33524.0W    0.0Parque de las Ciencias
APCP F                          (phase code designation)
APE   370408.0N 253150.0E  620.0Apeiranthos of Naxos
APER R353301.4N 271026.8E  250.0Aper
APEZ R345839.7N 245309.2E  435.0Moni Apezanon
APG  R150014.4N 902751.5W 1880.0El Apazote
APH  C435028.8N 742949.2W  564.0Airport Hangar
APHE  365707.2N  34116.8W 1360.0Pico Herrero
API   134826.0S1714630.0W    2.0Apia
APK  C361910.0N1153428.0W 2680.0Angel's Peak
APKP F                          (phase code designation)
APKW C361911.3N1153512.5W 2580.0Angels Peak
APL   465658.6N  81434.1E  880.0Alpnach
APM   454410.0N1214050.0W  865.0Augspurger Mountain
APN   560000.0N1604948.0E  700.0Apakhonchich
APNR C401348.0N1195159.4W 1471.0Astor Pass
APO   603220.0N 135541.0E  354.0\"Appelbo
APON  125500.1N 860400.1W  600.0Apoyo
APP                             (Alternate abbreviation for APO)
APR   182707.5N 664346.1W   50.0Arecibo
APRI F                          (keyword for telegraphic format)
APRILF                          (keyword for telegraphic format)
APRM  385237.2N1211301.9W  133.0Poppy Hill Road
APT  C411857.5N 720350.0W    3.0Avery Point
APW   463906.0N1223851.0W  457.0Alpha Peak
APY  C121339.8N 862110.2W  260.0Apoyeque
APYN  121401.7N 862100.0W  300.0Apoyeque
APZ9  673407.0N 332418.0E  200.0Apatity Array Site Z9
AQBJ  294340.8N 350300.0E  170.0Al `Aqabah
AQU   422114.0N 132407.0E  729.0L'Aquila
AR-                             (Alternate Abbreviation for AR-WS)
AR-WSC454148.0N 880832.0W  381.0Aurora
