-A0MAC464119.0N1061320.0W  897.0Subarray A0 LASA
INF  C144500.0N1213848.0E    5.0Infanta
ING   325918.0N1151836.6W    2.0Ingram Ranch
INGI   84906.0S1150841.0E  202.0Ingas
INH   193250.0S1691623.0E  110.0Isangel
INK   681824.0N1333112.0W   40.0Inuvik
INM  F                          (magnitude source code for INMG)
INMG  384627.6N  90732.4W   93.0Instituto de Meteorologia, Lisbon
INMK C340142.3N1342758.8E   50.0Ichinomiya
INN  C471600.0N 112400.0E  575.0Innsbruck
INPP R553620.2N 263400.0E  148.5Ignalina Nuclear Power Plant
INR   270448.0N 933600.0E    0.0Itanagar
INS   335608.2N1161139.6W 1700.0Inspiration
INSR  530358.0N1583618.0E  175.0Institute
INTV F                          INTEVEP, Caracas, Venezuela
INU   352055.8N1370102.7E  140.0Inuyama
INV  C345800.0S1494000.0E  650.0Inveralochy
INW  C600403.6N1530757.0W 1219.0Iliamna Northwest
INY   422637.7N 762900.9W  238.0Ithaca
IO-                             (Alternate Abbreviation for IO-NV)
IO-NVC383133.0N1173820.0W 1737.0Ione
IPA    54145.0S 365122.0W   65.0Ipangua\c cu
IPB  F                          (phase code designation)
IPBC F                          (phase code designation)
IPBD F                          (phase code designation)
IPC  F                          (phase code designation)
IPCP F                          (phase code designation)
IPCR F                          (phase code designation)
IPCS F                          (phase code designation)
IPCU F                          (phase code designation)
IPD  F                          (phase code designation)
IPDR F                          (phase code designation)
IPDU F                          (phase code designation)
IPE    85837.8N 782936.0W   50.0Ipeti
IPEC F                          Ustav fyziky Zeme, Masaryk University, Brno
IPG  F                          (phase code designation)
IPGC F                          (phase code designation)
IPGD F                          (phase code designation)
IPKP F                          (phase code designation)
IPKS F                          (phase code designation)
IPM    43446.2N1010131.8E  246.0Ipoh
IPN  F                          (phase code designation)
IPNC F                          (phase code designation)
IPND F                          (phase code designation)
IPP  F                          (phase code designation)
IPPP F                          (phase code designation)
IPPS F                          (phase code designation)
IPR  F                          (phase code designation)
IPS  F                          (phase code designation)
IPSS F                          (phase code designation)
IPU  F                          (phase code designation)
IQQ   201427.0S 700740.0W    0.0Iquique
IR1   352458.2N 504119.5E 1347.0Iran Long-Period Array
IR2   353946.1N 505351.5E 1172.0Iran Long-Period Array
IR3   352834.0N 510125.5E 1106.0Iran Long-Period Array
IR4   351419.3N 505404.2E 1373.0Iran Long-Period Array
IR5   351246.2N 503452.0E 1350.0Iran Long-Period Array
IR6   352825.2N 502532.2E 1540.0Iran Long-Period Array
IR7   354210.1N 503632.0E 1305.0Iran Long-Period Array
IRC   342324.0N1182400.0W  580.0Iron Canyon
IRCI  433055.2N1120200.0W 1442.0INEL Research Center
IRF  R     0.0N      0.0E    0.0
IRI   242308.4N1234457.6E    9.0Iriomote-jima
IRIS F                          IRIS global broadband seismic network
IRK   521435.0N1041616.0E  467.0Irkutsk
IRN   340936.0N1151102.4W  980.0Iron Mountains
IRS   331127.0N1152545.0W  -10.0Iris
IRSH R271200.0N 604200.0E    0.0\=Ir\=anshahr
IRZ  C 95827.9N 835156.6W 3380.0Volcan Irazu
IRZ2   95807.8N 835351.0W 2950.0Volc\'an Iraz\'u 2
ISA   353946.0N1182826.5W  873.0Isabella
ISAL  553416.1N 260731.7E  175.0Salakas
ISAV R 93024.5N 705122.7W   23.5Santa Isabel
ISB  F                          (phase code identification)
ISC  F                          International Seismological Centre, U.K.
ISCO  394759.0N1053648.3W 2743.0Idaho Springs
ISCP F                          (phase code designation)
ISCS F                          (phase code designation)
ISE   342730.6N1364626.3E  440.0Ise
ISF  C780333.0N 133825.0E    5.0Isfjord
ISG  F                          (phase code identification)
ISH   385000.0N 704700.0E 1880.0Ishtion
ISI   242000.0N1241000.0E    6.0Ishigaki-shima
ISIK  340326.4N1342729.0E   27.0Ishii
ISK   410356.0N 290333.0E  132.0\.Istanbul--Kandilli
ISKP F                          (phase code designation)
ISKS F                          (phase code designation)
ISM   404012.0N 481236.0E  926.0\.Ismay\i ll\i  (Ismailly)
ISN   382530.0N1411812.0E   44.0Ishinomaki (Isinomaki)
ISO   441100.0N  70300.0E  870.0Isola
ISP   375035.9N 303033.5E 1100.0Isparta
ISPP F                          (phase code designation)
ISQ  C204254.0S1393312.0E  500.0Mount Isa
ISR   450707.7N 263235.2E  750.0Istri\c ta
ISS  F                          (phase code identification)
ISSF C430140.1N   4743.1W 1210.0Issarbe
ISSP F                          (phase code designation)
ISSS F                          (phase code designation)
IST  C410244.0N 285945.0E   50.0\.Istanbul
ISTF R     0.0N      0.0E    0.0
ISTN R     0.0N      0.0E    0.0
ISTOPF                          (keyword for telegraphic format)
ISU   392817.0N 872427.0W  148.0Indiana State University
ITA   222232.0S 444206.0W 2530.0Itatiaia
ITB   244737.0S 541232.0W  300.0Itaipu
ITB1  243848.0S 542319.0W    0.0Itaipu
ITB7  250720.0S 541031.0W  400.0Itaipu
ITBT   92543.2S 331109.0E 1270.0Itumba
ITD   354325.6N1364649.3E  390.0Itadori
ITG  C143548.6N 905043.8W 2320.0Itzapa
ITGE C370029.4N1375957.0E  270.0Itoigawa
ITH  C422700.0N 762900.0W  243.0Ithaca
ITHO R371043.0N 215530.7E  400.0Ithomi
ITKT   85222.2S 324658.8E 1590.0Itaka
ITM   371047.0N 215536.0E  400.0Ithomi
ITO  C345800.0N1390600.0E    0.0Ito
ITR    84541.0S 382524.0W  321.0Itaparica
ITR2 R     0.0N      0.0E    0.0Itaparica 2
ITR3 R     0.0N      0.0E    0.0Itaparica 3
ITR5 R     0.0N      0.0E    0.0Itaparica 5
ITU   410622.2N 290053.4E   98.0Istanbul
ITZ   154611.0S 260210.0E 1106.0Itezhi-Tezhi
IVA   425218.3N 195353.2E  945.0Berane (Ivangrad)
IVAG C341619.6N 824445.6W  168.0Clark Hill Reservoir
IVE   600058.3N1530059.6W 1128.0Iliamna Volcano East
IVF  C555345.0N1593148.0W  275.0Ivanof Bay
IVI  C611200.0N 481100.0W   20.0Ivigtut
IVS   600033.0N1530451.0W 2332.0Iliamna South
IVSM R360801.6S1470405.3E  330.0Inverness
IVT  C433119.6N 730311.9W  295.0Ira
IVY   345820.0S1494306.0E    0.0Inveralochy
IWJ  R350553.2N1395217.0E    0.0Iwai-Kita
IWK   370000.0N1405656.4E   35.0Iwaki
IWN   424013.8N1430246.4E  235.0Iwanai (Obihiro City)
IWO  C345257.0N1360756.0E  400.0Iwaosan
IWT   355532.9N1394417.2E-3501.0Iwatsuki
IXC  C172538.0N 930603.0W    0.0Ixtacomitan
IXG   141027.1N 902716.2W 1420.0Ixpaco
IXP  F                          (phase code designation)
IXPC F                          (phase code designation)
IXPD F                          (phase code designation)
IXS  F                          (phase code designation)
IXT  C192400.0N 990600.0W    0.0Ixtapalapa
IZAR  554459.1N 261444.8E  184.0Zarasai
IZI   402012.6N 292822.2E  910.0Iznik
IZK  C333900.0N1304200.0E    0.0Iizuka
IZM   382352.0N 271545.0E  632.0\.Izmir
IZMH R405001.6N1402954.7E   30.0Iizume
IZN  C402601.7N 294537.8E  195.0Iznik
IZT   345820.0N1345315.5E  230.0Izumi
IZU  C341212.0N1291742.0E   22.0Izuhara
IZU2 C341336.0N1291624.0E  410.0Izuhara 2
IZUJ  341142.0N1291736.0E    3.0Izuhara
JA-                             (Alternate Abbreviation for JA-MN)
JA-MNC435324.0N 961917.0W  518.0Jasper
JAA   343754.0N1370836.0E   30.0Atsumi
JAB   433016.2N1421323.4E  187.0Ashibetsu
JAC  C302500.0N 813900.0W    9.0Jacksonville
JACH  324054.7S 703534.6W 1075.0Jahuel
JAD   345624.0N1341006.0E  170.0Aida
JAG   362530.0N1392712.0E  241.0Ashikaga
JAGN  263519.8N1271431.8E   12.0Aguni-jima
JAH   401119.2N1403809.0E  140.0Hinai
JAI   334730.0N1342706.0E  180.0Aioi
JAJ  C342008.4N1345428.2E  109.0Awaji-shima
JAJ2  342509.0N1345306.0E   85.0Tsuna
JAK   425946.2N1444147.4E   20.0Akkeshi
JALM                            (Alternate Abbreviation for AMC)
JAM   282442.0N1293618.0E   20.0Amami \=O-shima (Tatsugo)
JAMA    1540.2S 801221.0W  680.0Jama
JAN   393924.0N 205103.0E  540.0Io\'annina (Janina)
JANG  402224.6N1413054.6E  270.0Nang\=o
JAO   351600.0N1371530.0E  600.0Obara
JAQ  C534808.0N 754316.0W  366.0La Grande-3
JAR   431748.6N1434610.2E  210.0Ashorobuto
JARJ  321415.0N 355646.8E  840.0Jarash
JAS  C375647.9N1202621.6W  428.1Jamestown
JAS1 C375536.0N1202515.7W  398.1Jamestown
JAT  C141904.8N 913812.0W   68.0Jato
JAU  C430216.8N   2209.5W 1545.0Jaout
JAVC  485132.8N 174014.5E  827.6Velk\'a Javorina
JAVS R     0.0N      0.0E    0.0Javornik
JAW   382722.2N1391455.2E   70.0Awa-shima
JAY    23053.4S1404216.8E  400.0Jayapura
JAYA R     0.0N      0.0E    0.0
JAZS  170404.1N 425503.7E    0.0J\=\i z\=an
JBCM                            (Alternate Abbreviation for LT15)
JBGM                            (Alternate Abbreviation for BGH)
JBLM  370741.4N1221004.8W  792.0Camp Ben Lomond
JBMM  371905.5N1220909.7W  820.0Black Mountain
JBO   452741.7N1195013.2W  645.0Jordan Butte
JBP   231000.0N 795900.0E    0.0Jabalpur
JBQ  C533637.0N 753619.0W  381.0La Grande-3
JBRM R334542.6S1500255.0E 1235.0Jenolan Black Range
JBT  C423523.4N1420801.2E  100.0Biratori
JBT2  424642.0N1422149.2E  170.0Biratori 2
JBZM  370104.1N1214708.9W  213.0Buzzard Lagoon Road
JCBM                            (Alternate Abbreviation for CBO)
JCC  R     0.0N      0.0E    0.0Jacoby Creek
JCE1 R353452.3N 975401.1W  413.0John's Creek
JCH   423651.6N1432144.4E  120.0Ch\=urui
JCHM  373101.2N1222233.6W  323.0Cahill Ridge
JCJ  R     0.0N      0.0E    0.0
JCK   510210.8N  62554.6E -240.0Jackerath
JCM   194403.0N 994540.0W    0.0Jocotitl\'an
JCN   352506.0N1401206.0E   40.0Nagara
JCNB  355620.8N1202551.0W  335.0Joaquin Canyon North
JCPM  373517.4N1221920.0W   14.0Coyote Point
JCQ  C532802.0N 754927.0W  320.0La Grande-3
JCR    95059.4N 850642.6W  575.0Jicaral
JCR2 R     0.0N      0.0E    0.0Jicaral 2
JCSB  355516.3N1202602.7W  332.0Joaquin Canyon South
JCT   302846.0N 994808.0W  591.0Junction
JCW   481136.6N1215546.2W  616.0Jim Creek
JDN  R170954.0N 923000.0W  920.0Jard\'\i n
JDRJ                            (Alternate Abbreviation for JRDJ)
JE-                             (Alternate Abbreviation for JE-LA)
JE-LAC314705.0N 920055.0W   46.0Jena
JECI  442219.8N1141103.0W 2135.0Jenson Cabin
JECM                            (Alternate Abbreviation for EUC)
JEF    91307.8N 792225.8W  977.0Cerro Jefe
JEG   350803.6N1362315.6E  433.0Eigenji
JEGM  373050.4N1222744.3W  202.0El Granada
JEHI   80500.0S1151245.0E   60.0Jehsanih
JELM  365538.4N1214936.6W   85.0Ellicott
JEM   420057.0N1430926.4E   40.0Erimo
JEN  C505707.0N 113500.0E  193.0Jena
JENM  382102.5S1462511.1E  330.0Jeeralang Junction
JER   314619.0N 351150.0E  770.0Jerusalem
JET   334642.0N1330254.0E  410.0Tanbara
JEW   425024.6N1412659.4E  185.0Eniwa
JEZ  R     0.0N      0.0E    0.0Jbel Ezeft
JFA   334242.0N1304742.0E  130.0Akaike
JFI   332543.2N1302315.6E  640.0Itaya
JFK   372159.4N1405228.2E  520.0Kawauchi
JFM   353142.0N1355900.0E  160.0Mihama
JFO   214339.7S 431931.6W  780.0Juiz de Fora
JFR   430948.6N1423536.6E  360.0Furano
JFS   352103.0N1174012.0W 1433.0Joseph F. Staten
JFT   373105.4N1402012.0E  350.0Otama
JFU   323918.0N1284500.0E  120.0Fukue 2 (Tomie)
JFWS  425451.3N 901453.1W  335.0Jewell Farm
JFY   372424.6N1391217.4E  420.0Yanaizu
JGF   353603.0N1372125.8E  580.0Kurokawa
JGI   440533.4N1124036.8W 1657.0Juniper Gulch
JGK   363343.2N1383822.8E  645.0Kuni
JGM   354157.6N1364305.4E  495.0Miyama
JGN   361323.4N1371855.2E  775.0Niukawa
JGT   350143.2N1322003.6E   50.0G\=otsu
JHA   314409.6N  92714.4W  725.0Jbel Lahdid
JHC   363249.2N1212333.6W  207.0Johnson Canyon
JHD   322748.0N1300812.0E   70.0Hondo
JHE   343912.0N1354106.0E  250.0Heguri
JHG   375054.0N1365512.0E   10.0Hegura-jima
JHHJ  263746.8N1421040.8E  110.0Haha-jima--Nakanotaira
JHI   264400.0N 941000.0E   84.0Jorhat
JHIK  343152.8N1315545.0E  350.0Hikimi
JHJ  C330709.0N1394700.0E  153.0Hachij\=o-jima 2
JHJ2  330642.0N1394900.0E   70.0Mitsune
JHK   371454.0N1390101.2E  195.0Hirokami
JHLM  370632.4N1214959.4W  908.0Holstrom Ranch
JHLN  354021.0N 382628.1E  459.0Al Jahlan
JHM   340818.0N1323142.0E   60.0Kurahashi
JHMK  344912.0N1374536.0E -700.0Hamakita
JHN  C402648.0N 960107.3W  335.0Johnson
JHNI  252757.0N 783222.2E    0.0Jhansi
JHO   363639.0N1403407.2E  215.0Hitachi
JHP  C353618.0N 903036.0W   68.0Judd Hill Plantation
JHPM  372639.0N1221805.4W  347.0Huddart Park
JHR   434434.8N1414329.4E  195.0Hokury\=u
JHS   345954.0N1330654.0E  480.0Saijo
JHT   343943.8N1322515.6E  460.0Toyohira
JHU   355106.0N1391654.0E  250.0Hann\=o
JHY  C414039.6N1400326.4E   30.0Hiyama
JIE   342330.0N1364224.0E  140.0Ise
JIG  C131204.2N 854615.0W 1249.0Jinotega
JIH   270205.4N1275801.8E   25.0Iheya
JII   334742.0N1294354.0E   70.0Iki
JIJ   242148.6N1240834.2E   78.0Ishigaki-shima 2 (Arakawa)
JIL  R193750.4N 965600.0W 1330.0Jilotepec
JIM  C344542.0N1392236.0E  190.0\=Oshima 2
JIM2  344303.0N1392552.2E  405.0\=Oshima 3
JIN  C362622.0S1483535.0E  960.0Jindabyne
JIND  501543.7N 123700.4E  722.0Jind\v richovice
JIO   382715.6N1412055.8E   40.0Ouri
JIRN  273936.0N 861124.0E 3064.0Jiri
JIS   581630.0N1342300.0W   10.0Juneau Island
JIU  C323424.0N1304736.0E  230.0Izumi
JIU2  323243.2N1304852.2E  260.0Izumi 2
JIW   403534.2N1400025.2E  330.0Iwasaki
JIZ   345446.4N1385948.5E  263.0Nakaizu
JIZN  165732.4N 424930.0E  100.0J\=\i z\=an
JIZS  344304.0N1385241.0E  135.0Izushimoda
JIZZ  373154.0N1384234.0E   40.0Izumozaki
JJG   343830.0N1330918.0E  480.0Joge
JJH   365530.0N1364654.0E   40.0Hakui
JJK  C312848.0N1311706.0E  240.0Kushima
JJN   370610.8N1380946.8E  140.0Nakanomata
JJO  C351006.0N1323012.0E   60.0\=Oda
JJRM  372040.8N1221205.4W  430.0Joaquin Road
JJS   342224.0N1335554.0E  210.0Sakaide
JJT  C260858.2N1274600.0E  188.0Tamagusuku
JJT2  260818.0N1274455.2E   40.0Tamagusuku 2
JKA  R     0.0N      0.0E    0.0
JKB   415315.6N1410157.0E   10.0Kayabe
JKC   302742.0N1301142.0E   20.0Kuchinoebaru-jima
JKD   340312.0N1315224.0E  220.0Kudamatsu
JKE   261933.6N1264709.6E   71.0Kume-shima 2 (Nakazato)
JKG   361636.0N1361954.0E   30.0Kaga
JKI   333754.0N1313406.0E  120.0Kunimi
JKIT  323729.4N1312713.2E  180.0Kitakata
JKJ  C321454.0N1312454.0E  380.0Kijyo
JKK  C434842.0N1425049.8E  430.0Kamikawa
JKK2  435222.2N1424452.8E  350.0Kamakawa 2
JKKG  344708.4N1375823.4E -450.0Kakegawa
JKM  C453919.8N 701433.4W  378.0Jackman
JKN   341442.0N1361600.0E   90.0Kii-Nagashima
JKO   341112.0N1390812.0E  138.0K\=ozushima
JKR   352242.0N1334912.0E  180.0Kurayoshi
JKRS  241415.0N1240033.0E    9.0Kuro-shima
JKS   345855.8N1345038.4E  150.0Kasai
JKSM  353512.0N1343943.8E   85.0Kasumi
JKT   364600.0N1391455.8E  933.0Katashina
JKU   331836.0N1330348.0E  340.0Kubokawa
JKY   353742.0N1350612.0E  260.0Yasaka
JKZ   395904.2N1411947.4E  620.0Kuzumaki
JLDW  435122.2N1103514.2W 2074.0Jackson Lake Dam
JLK   460848.0N1220910.8W 1049.0June Lake
JLP   491434.1N  20614.0W  131.0Les Platons
JLPM  370639.6N1215034.8W 1152.0Loma Prieta
JLTM                            (Alternate Abbreviation for LTW)
JLU   403607.0N1112659.8W 2285.0Jordanelle
JLXM                            (Alternate Abbreviation for LXR)
JMA  F                          Japan Meteorological Agency, Tokyo
JMB   422800.1N 263459.9E  216.0Yambol
JMD  C343754.0N1315336.0E  260.0Masuda
JMG  C142019.2N 901613.2W 1815.0Jumaytepeque
JMGM                            (Alternate Abbreviation for MGA)
JMH  C323418.0N1313518.0E   60.0Hososhima
JMI   705541.9N  84350.9W  211.0Jan Mayen
JMIC R705918.0N  83100.0W    0.0Jan Mayen
JMIK  344816.2N1350310.8E  160.0Miki
JMJ   244852.8N1251736.6E   43.0Miyako-jima 2 (Nishinakasone)
JMK   385706.6N1411311.4E   70.0Ichinoseki
JMM   375157.6N1404734.8E  100.0Marumori
JMN   334342.0N1335242.0E  580.0Monobe
JMOS  291007.0N 350633.8E    0.0Jabal al Moallq
JMP   440025.2N1432134.8E  460.0Maruseppu
JMPM  372720.0N1220956.0W   17.0Menlo Park
JMQS  285310.0N 355240.1E    0.0Jabal Moqyreh
JMT  C352636.0N1343206.0E  150.0Mikata
JMU   324300.0N 745400.0E    0.0Jammu
JMY   340357.0N1393100.0E  430.0Miyake-jima 2 (Ako)
JMZ   254908.4N1311314.4E   50.0Minami-daito-jima 2 (Ikenosawa)
JN-                             (Alternate Abbreviation for JN-IS)
JN-ISC164402.0N1693141.0W    3.0Johnston Island
JNA   333324.0N1322842.0E  230.0Nagahama
JNAM  371037.2N1215040.8W  512.0New Almaden Mine
JNAR  313135.4N1311618.0E   80.0Kushima--Naru
JNB   422807.2N1410218.0E  110.0Noboribetsu
JNE   705924.0N  81749.2W   57.0Jan Mayen East
JNG   362424.0N1380600.0E  930.0Sakai
JNH   342651.0N1175716.2W 1317.0Juniper Hills
JNI  C325700.0N 354937.2E  500.0Jehonathan
JNJ  C152355.8N 912543.2W 3348.0Junjel
JNK   433507.2N1444308.4E  220.0Nakashibetsu
JNL  C334932.5S1500118.7E  829.0Jenolan
JNM   352948.0N1330148.0E   20.0Nishi-ikuma
JNN   295030.0N1295230.0E  240.0Nakano-shima
JNS   374906.0N1391901.8E  145.0Sasakami
JNT   355230.0N1380818.0E 1180.0Takat\=o
JNU   330718.0N1305242.0E  540.0Nataksue
JNW   710144.4N  82540.8W   95.0Jan Mayen West
JNY   352130.0N1375142.0E  800.0Yasuoka
JO-                             (Alternate Abbreviation for JO-MN)
JO-MNC444225.0N 933030.0W  290.0Jordan
JOAQ  354615.0N1065028.0W 2768.0Joaquin Lookout
JOB   425412.0N1435004.8E   60.0Onbetsu
JOD  C351553.4N1390527.0E  360.0Odawara
JOD2  351547.4N1390517.4E  380.0Odawara 2
JOE  C623906.0N 294142.0E   90.0Joensuu
JOF   625505.5N 311844.5E  180.0Joensuu
JOG  C395415.6N1394637.2E  270.0Oga
JOG2  395450.4N1394733.6E  140.0Oga 2
JOGS  244536.0N1252422.8E   60.0Gusukube
JOH  C261054.0S 280430.0E 1806.0Johannesburg
JOHN  164358.4N1693145.1W  -36.5Johnston Island
JOK  R312421.6N  53354.0W 1669.0Jbel Ouklim
JOL   360501.2N1211009.0W  336.0Jolon Road
JOM   392822.8N1411732.4E  210.0\=Ohazama
JON  C362623.6N1160611.9W  939.0Johnnie
JOR  C420400.0N1392642.0E   33.0Okushiri-to
JOR1       0.2S 783819.3W 2690.0San Jorge 1
JORD R442024.0N 743636.0W    0.0
JORG    1301.8S 783844.4W 2800.0San Jorge
JOS   482944.8N 203221.7E  280.0Josvafo
JOSM  420457.6N1392830.6E   79.0Okushiri--Matsue
JOT   412255.2N1410253.4E   80.0\=Ohata
JOU   382155.8N1403950.4E  390.0Okura
JOW   264955.8N1281628.2E  220.0Kunigami
JOZ  C272642.0S 320442.0E  244.0Jozini
JP-                             (Alternate Abbreviation for JP-AT)
JP-ATC525350.0N1180525.0W 1128.0Jasper
JPK   610318.6N1463552.2W  835.0Jack Peak
JPLM                            (Alternate Abbreviation for PEV)
JPPM                            (Alternate Abbreviation for LT3)
JPRM  374742.0N1222825.8W  107.0Presidio of San Francisco
JPSM                            (Alternate Abbreviation for PSD)
JQE   491200.0N  20217.9W   58.0Queens East
JQX  R323046.8N1150426.4W    5.0Jiquilpan
JR-                             (Alternate Abbreviation for JR-AZ)
JR-AZC344932.0N1115925.0W 1311.0Jerome
JRA   435616.2N1450719.2E   10.0Rausu
JRDJ  304340.8N 353957.6E 1365.0Daraweish
JRG   392346.8N1403801.8E  200.0Rokug\=o
JRGM  370213.2N1215752.2W  213.0Rodeo Gulch Road
JRR   450816.2N1411840.2E   27.0Rishiri
JRRM  370316.2N1214336.5W  408.0Redwood Retreat
JRS   491132.6N  20530.1W   53.0Jersey
JRSC  372413.4N1221419.2W   70.5Jasper Ridge
JRSJ  301539.6N 351358.8E  357.0Jabal ar R\=ishah
JRTX  325602.4N1005710.8W  804.0Jordan Ranch
JRWM C355939.5N1174917.4W 1366.0Joshua Ridge West
JRY   360100.0N1385406.0E  480.0Ry\=ogami-san
JS-                             (Alternate Abbreviation for JS-TN)
JS-TNC353920.0N 883646.0W  152.0Jackson
JSA   491116.4N  21015.2W   21.0Saint Aubin
JSAM                            (Alternate Abbreviation for SAC)
JSB   365806.0N1395502.4E  460.0Shiobara-machi
JSBM  374044.4N1222348.0W  194.0San Bruno Mountain
JSC   341654.0N 811537.2W  120.0Jenkinsville
JSCM                            (Alternate Abbreviation for SEC)
JSD   380213.2N1381537.2E  146.0Sado
JSE   445731.8N1423530.0E   10.0Soyaesashi
JSFM                            (Alternate Abbreviation for SFT)
JSG   344046.0N1381109.6E  110.0Sagara
JSGM                            (Alternate Abbreviation for SGC)
JSH   423834.8N1400241.4E   72.0Shimamaki
JSI  C410316.8N1402348.0E   40.0Shiura
JSI2  410327.0N1402440.2E   60.0Shiura 2
JSJ   314742.0N1294300.0E  240.0Shimokoshiki-jima
JSJM                            (Alternate Abbreviation for SJH)
JSK   432109.0N1402832.4E   10.0Shakotan
JSLM C373433.6N1222524.0W  335.0San Andreas Lake
JSM  R420752.8N1132257.0W 1524.0Jim Sage Mountain
JSMM  371244.3N1221003.7W  262.0Sawmill Road
JSN  F                          Jamaica Seismograph Network, Mona
JSO  F                          Jordan Seismological Observatory
JSOJ  315725.2N 355045.6E  926.0Natural Resources Authority
JSR   413146.2N1402504.2E   55.0Shiriuchi
JSS   442455.8N1415111.4E  100.0Shosanbetsu
JSSM                            (Alternate Abbreviation for SOS)
JSTM  371224.5N1214750.3W  149.0Santa Teresa Hills
JSTOPF                          (keyword for telegraphic format)
JSU   313024.0N1302718.0E  400.0Suzuyama
JSZ   372654.0N1372148.0E   10.0Suzu
JTA   325748.0N1303200.0E  230.0Tamana
JTB   391143.2N1393326.4E   50.0Tobi-shima
JTG  C351112.0N1361918.0E  160.0Taga
JTGM  370142.6N1215234.7W  253.0Trout Gulch Road
JTH   395619.2N1415149.2E  200.0Tanohata
JTJ   243827.0N1244207.2E    7.0Tarama-jima
JTK   274706.0N1285706.0E  170.0Tokuno-shima
JTKR  435814.4N1435429.4E   42.0Abashiri--Tokoro
JTM   404712.6N1410405.4E  130.0Tenmabayashi
JTMT  474448.0N1141657.0W 1469.0Jettee
JTN   303918.0N1305848.0E  240.0Tanega-shima 3 (Nishinoomote)
JTO   325136.0N1324806.0E  200.0Tosashimizu
JTR   334850.4N1155400.6W 1372.0Joshua Tree Park
JTRM C372107.8N1221152.8W  251.0Los Trancos Road
JTS   101727.0N 845709.0W  340.0Juntas de Abangares
JTSN  321443.8N1313017.4E  120.0Tsuno
JTSR  310958.8N1305518.0E  430.0Tashiro 2
JTT   363618.0N1372000.0E  236.0Tateyama
JTU   343130.0N1292354.0E   70.0Tsushima
JTY   341548.0N1310354.0E  120.0Toyota
JTZ   315404.8N1310516.8E  166.0Takazaki
JU-                             (Alternate Abbreviation for JU-TX)
JU-TXC300643.0N1010438.0W  533.0Juno
JUA2    1249.7S 783618.6W 3670.0San Juan 2
JUAN    1230.0S 783530.0W 3590.0San Juan
JUBA  621414.4S 583945.6W   16.0Jubany
JUCM  370004.3N1220254.6W  177.0University of California, Santa Cruz
JUD   100943.2N 853249.9W  844.0Juan Diaz
JUD2 R101001.2N 853228.2W  680.0Juan Diaz 2
JUE   505445.9N  62435.2E   97.0J\"ulich
JUG  C494600.0N  83600.0E    0.0Jugenheim
JUI3   12518.6S 782836.0W 2425.0Juive 3
JUIV   12525.8S 782752.8W 2380.0Juive
JUJ   241445.0S 651622.0W 1270.0Jujuy
JUL  F                          (keyword for telegraphic format)
JULC  330254.0N1163646.2W 1292.0Julian
JULY F                          (keyword for telegraphic format)
JUM  R355418.0N1064006.0W 2400.0Jug
JUMM  370939.0N1215351.6W 1048.0Mount Umunhum
JUN  F                          (keyword for telegraphic format)
JUNE F                          (keyword for telegraphic format)
JUQB  240534.8S 474258.7W  470.0Juquia
JUR   330536.0N1295654.0E  160.0Ureshino
JUS   330354.0N1314500.0E  140.0Usuki
JVI   315616.8N 352020.4E  680.0Jordan Valley--Rimmonim
JVM   491300.8N  21224.5W   64.0Valle D.L. Mare
JVW  R345932.4N 825951.6W  554.0Jocassee View
JWA  C315200.0N 762000.0E    0.0Jawala Mukhi (Jwalamukhi)
JWK  C452500.6N1414023.4E   90.0Wakkake-Misaki
JWK2  451854.0N1415351.0E   60.0Keihoku
JWL  R315212.0N 762214.0E    0.0Jwalamukhi
JWM   335100.0N1352112.0E  150.0Minabegawa
JWSM                            (Alternate Abbreviation for WDS)
JWT   351657.0N1352409.0E  172.0Wachi
JWY                             (Alternate Abbreviation for WKYJ)
JWZ   333148.0N1354254.0E  240.0Koza-gawa
JYA   383534.8N1394249.8E  200.0Atsumi
JYG   442536.6N1412535.4E   35.0Yagishiri-jima
JYJ  C242700.6N1225637.2E   22.0Yonaguni-jima 2 (Kubura)
JYK   385504.2N1402132.4E  220.0Kaneyama
JYM  C421204.2N1401512.0E  170.0Yakumo
JYM2  420701.8N1402212.0E  120.0Yakumo 2
JYN   352951.6N1383239.6E  780.0Shimobe
JYO   351325.8N1393955.2E   80.0Yokosuka
JYP   330630.0N 745100.0E    0.0Jyotipuram
JYS   381315.6N1400355.8E  300.0Shirataka
JYSA R624612.0N 245212.0E    0.0
JYT   361339.6N1401138.4E   31.0Yasato
JYV  R     0.0N      0.0E    0.0Jyvaskyla
JYW   393225.2N1401230.6E   30.0Yuwa
JYZW  345945.6N1374401.2E  495.0Shizuoka-Yoshizawa
JZK   281854.0N1295818.0E  120.0Kikaiga-shima
JZO   320824.0N1303554.0E  440.0\=Okuchi
K01   392356.0N1413619.0E  431.0Nishinai
K02   392228.0N1413548.0E  346.0Yamasaki
K03   392130.0N1413439.0E  289.0Shimotochinai
K04   392140.0N1413109.0E  477.0Kokoji
K05   392256.0N1413050.0E  463.0Ishipane
K06   392505.0N1413247.0E  363.0Arakawa
K07   392459.0N1413923.0E  554.0Kotohata
K08   391846.0N1413128.0E  488.0Monomi-yama
K09   392827.0N1413041.0E  446.0Ooide
K10   392945.0N1413053.0E  616.0Oonodaira
K11   392842.0N1413157.0E  527.0Fujikirizawa
K12   392727.0N1412956.0E  534.0Koide
